,technology_terms,id,category,sector,technology_group,technology,description,technology_term,source,priority
1898,PV,855757,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1899,PV,818762,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1900,photovoltaic,818762,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1901,geothermal energy,855257,geothermal,Energy,Other renewable sources,geothermal,Technology of heating buildings and/or producing electricity by using natural reservoirs with hot water inside the Earth's crust.,"geothermal, “geothermal energy”, “geothermal power”",https://www.ctc-n.org/technologies/geothermal-electricity,1.0
1902,geothermal,855257,geothermal,Energy,Other renewable sources,geothermal,Technology of heating buildings and/or producing electricity by using natural reservoirs with hot water inside the Earth's crust.,"geothermal, “geothermal energy”, “geothermal power”",https://www.ctc-n.org/technologies/geothermal-electricity,1.0
1903,geothermal power,855257,geothermal,Energy,Other renewable sources,geothermal,Technology of heating buildings and/or producing electricity by using natural reservoirs with hot water inside the Earth's crust.,"geothermal, “geothermal energy”, “geothermal power”",https://www.ctc-n.org/technologies/geothermal-electricity,1.0
1904,renewable energy,780315,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1905,geothermal energy,725100,geothermal,Energy,Other renewable sources,geothermal,Technology of heating buildings and/or producing electricity by using natural reservoirs with hot water inside the Earth's crust.,"geothermal, “geothermal energy”, “geothermal power”",https://www.ctc-n.org/technologies/geothermal-electricity,1.0
1906,renewable energy,856071,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1907,PV,856071,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1908,fuel cell,836429,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1909,PV,836429,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1910,renewable energy,853733,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1911,concentrated solar power,855159,concentrated solar power (CSP),Energy,Solar energy sources,concentrated solar power (CSP),"Technology of producing electricity by concentrating the sun’s rays to heat a medium (usually a liquid or gas) that is then used in a heat engine process (steam or gas turbine) to drive an electrical generator. Four main CSP technologies can be distinguished: parabolic troughs (PT), solar towers with central receivers (CR), linear Fresnel reflectors (LF) and parabolic dishes (PD).","“concentrated solar power”, CSP, “concentrated solar”, “parabolic trough”, “solar tower with central receiver”, “Fresnel reflector”",https://setis.ec.europa.eu/technologies/concentrated-solar-energy,1.0
1912,fuel cell,826215,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1913,renewable energy,814494,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1914,biochar,817214,biochar,Agriculture,Cleaner product,biochar,"Technology of producing and using biochar – a charcoal-like substance produced from agriculture and forest wastes which contains 70% carbon. It is used as soil enhancer to increase fertility, prevent soil degradation and to sequester carbon in the soil. Here does not mean carbon capture and storage.",biochar,https://www.ctc-n.org/technologies/biochar,0.0
1915,recycling,817214,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1916,electric vehicle,807791,electric vehicle design,Transport,Vehicle design,electric vehicle design,Technology of vehicle propelling using solely electric motors.,"“electric vehicle”, “electric car”",https://www.ctc-n.org/technologies/electric-vehicles,1.0
1917,LNG,808814,liquefied natural gas (LNG),Transport,Fuel,liquefied natural gas (LNG),"Technology of producing or using LNG, alternative natural gas-based fuel, for heavy duty trucks.","“liquefied natural gas”, LNG",https://www.ctc-n.org/technologies/liquefied-natural-gas-trucks-and-cars,1.0
1918,liquefied natural gas,808814,liquefied natural gas (LNG),Transport,Fuel,liquefied natural gas (LNG),"Technology of producing or using LNG, alternative natural gas-based fuel, for heavy duty trucks.","“liquefied natural gas”, LNG",https://www.ctc-n.org/technologies/liquefied-natural-gas-trucks-and-cars,1.0
